symbol,bid_size,bid,ask,ask_size,last,change,open,high,low,previous_close,turnover,volume,operations,datetime,expiration,strike,kind,underlying_asset
A30C33608F,,,,,,,,,,15750.4,,,,,2024-02-27,33608.0,CALL,AL30
A30C34608F,,,,,,,,,,12518.4,,,,,2024-02-27,34608.0,CALL,AL30
A30C36000F,,,,,,,,,,10889.6,,,,,2024-02-27,36000.0,CALL,AL30
A30C37000F,50.0,10838.4,11254.2,50.0,,,,,,10879.6,,,,,2024-02-27,37000.0,CALL,AL30
A30C38000F,50.0,9852.0,10392.3,50.0,,,,,,9639.6,,,,,2024-02-27,38000.0,CALL,AL30
A30V38000F,,,,,,,,,,181.0,,,,,2024-02-27,38000.0,PUT,AL30
A30C38608F,50.0,9252.3,9882.2,50.0,,,,,,12767.0,,,,,2024-02-27,38608.0,CALL,AL30
A30V38608F,,,,,,,,,,204.0,,,,,2024-02-27,38608.0,PUT,AL30
A30C39608F,,,,,,,,,,11000.0,,,,,2024-02-27,39608.0,CALL,AL30
A30V39608F,,,,,,,,,,246.0,,,,,2024-02-27,39608.0,PUT,AL30
A30C40608F,50.0,7279.5,8289.3,50.0,,,,,,10412.4,,,,,2024-02-27,40608.0,CALL,AL30
A30C42000F,50.0,5906.4,7086.0,1.0,,,,,,10888.0,,,,,2024-02-27,42000.0,CALL,AL30
A30C43000F,50.0,4910.0,6322.0,1.0,,,,,,6252.5,,,,,2024-02-27,43000.0,CALL,AL30
A30V43000F,,,,,,,,,,200.0,,,,,2024-02-27,43000.0,PUT,AL30
A30C43608F,50.0,4315.3,5890.0,1.0,,,,,,11660.0,,,,,2024-02-27,43608.0,CALL,AL30
A30V43608F,,,,,,,,,,1000.0,,,,,2024-02-27,43608.0,PUT,AL30
A30C49000F,1.0,203.0,2387.0,1.0,,,,,,1108.0,,,,,2024-02-27,49000.0,CALL,AL30
A30V49000F,50.0,1631.8,4657.5,50.0,,,,,,1380.0,,,,,2024-02-27,49000.0,PUT,AL30
A30C50000F,50.0,18.1,2941.4,50.0,,,,,,1200.0,,,,,2024-02-27,50000.0,CALL,AL30
A30V50000F,50.0,2635.8,5283.5,50.0,,,,,,,,,,,2024-02-27,50000.0,PUT,AL30
A30C51000F,50.0,1.6,1500.0,100.0,,,,,,500.0,,,,,2024-02-27,51000.0,CALL,AL30
A30V51000F,50.0,3630.1,5944.2,50.0,,,,,,,,,,,2024-02-27,51000.0,PUT,AL30
A30C52000F,50.0,0.1,1500.0,1.0,,,,,,979.0,,,,,2024-02-27,52000.0,CALL,AL30
A30V52000F,50.0,4629.4,6640.2,50.0,,,,,,,,,,,2024-02-27,52000.0,PUT,AL30
UA0C39.0FE,,,,,,,,,,6.733,,,,,2024-02-27,39.0,CALL,AL30D
ALUC850.MA,1.0,35.0,110.0,3.0,,,,,,120.0,,,,,2024-03-15,850.0,CALL,ALUA
ALUC1000MA,4.0,15.0,60.0,5.0,14.0,-6.66,14.0,14.0,14.0,15.0,2800.0,2.0,2.0,2024-02-22 11:41:44,2024-03-15,1000.0,CALL,ALUA
ALUC850.AB,22.0,120.0,146.0,2.0,146.0,3.0,135.0,150.0,125.0,141.739,746100.0,52.0,11.0,2024-02-22 11:56:30,2024-04-19,850.0,CALL,ALUA
ALUV850.AB,1.0,30.0,45.0,5.0,,,,,,33.778,,,,,2024-04-19,850.0,PUT,ALUA
ALUC900.AB,1.0,110.0,115.0,1.0,,,,,,117.0,,,,,2024-04-19,900.0,CALL,ALUA
ALUV900.AB,4.0,54.001,238.9,5.0,,,,,,57.667,,,,,2024-04-19,900.0,PUT,ALUA
